,PGCname,T,category_label,category_label_name
145,PGC0006450,-3,1,lenticular
146,PGC0006504,10,3,irregular
147,PGC0006505,7,2,spiral
148,PGC0006516,8,2,spiral
149,PGC0006627,6,2,spiral
150,PGC0006628,9,2,spiral
151,PGC0006636,7,2,spiral
152,PGC0006637,9,2,spiral
153,PGC0006657,-1,1,lenticular
154,PGC0006667,7,2,spiral
155,PGC0006670,0,2,spiral
156,PGC0006671,2,2,spiral
157,PGC0006673,-5,0,elliptical
158,PGC0006678,6,2,spiral
159,PGC0006826,3,2,spiral
160,PGC0006832,3,2,spiral
161,PGC0006835,-2,1,lenticular
162,PGC0006855,6,2,spiral
163,PGC0006861,-3,1,lenticular
164,PGC0006888,1,2,spiral
165,PGC0006982,3,2,spiral
166,PGC0006986,5,2,spiral
167,PGC0007022,8,2,spiral
168,PGC0007042,8,2,spiral
169,PGC0007046,8,2,spiral
170,PGC0007063,-1,1,lenticular
171,PGC0007064,-4,0,elliptical
172,PGC0007090,-3,1,lenticular
173,PGC0007114,3,2,spiral
174,PGC0007118,-3,1,lenticular
175,PGC0007210,4,2,spiral
176,PGC0007246,6,2,spiral
177,PGC0007262,7,2,spiral
178,PGC0007328,3,2,spiral
179,PGC0007341,1,2,spiral
180,PGC0007366,3,2,spiral
181,PGC0007465,5,2,spiral
182,PGC0007485,6,2,spiral
183,PGC0007533,6,2,spiral
184,PGC0007536,-2,1,lenticular
185,PGC0007574,6,2,spiral
186,PGC0007632,1,2,spiral
187,PGC0007654,10,3,irregular
188,PGC0007740,4,2,spiral
189,PGC0007741,2,2,spiral
190,PGC0007748,-3,1,lenticular
191,PGC0007806,6,2,spiral
192,PGC0007835,7,2,spiral
193,PGC0007846,-2,1,lenticular
194,PGC0007856,1,2,spiral
195,PGC0007889,-2,1,lenticular
196,PGC0007905,7,2,spiral
197,PGC0007965,-1,1,lenticular
198,PGC0007966,6,2,spiral
199,PGC0007979,4,2,spiral
200,PGC0007998,10,3,irregular
201,PGC0008014,6,2,spiral
202,PGC0008029,-1,1,lenticular
203,PGC0008060,8,2,spiral
204,PGC0008165,3,2,spiral
205,PGC0008182,8,2,spiral
206,PGC0008201,-3,1,lenticular
207,PGC0008225,1,2,spiral
208,PGC0008228,1,2,spiral
209,PGC0008232,4,2,spiral
210,PGC0008250,-1,1,lenticular
211,PGC0008258,-2,1,lenticular
212,PGC0008295,9,2,spiral
213,PGC0008302,10,3,irregular
214,PGC0008397,9,2,spiral
215,PGC0008399,-1,1,lenticular
216,PGC0008406,8,2,spiral
217,PGC0008412,8,2,spiral
218,PGC0008439,2,2,spiral
219,PGC0008464,0,2,spiral
220,PGC0008502,2,2,spiral
221,PGC0008522,0,2,spiral
222,PGC0008526,1,2,spiral
223,PGC0008586,1,2,spiral
224,PGC0008659,-2,1,lenticular
225,PGC0008718,-5,0,elliptical
226,PGC0008876,2,2,spiral
227,PGC0008929,-2,1,lenticular
228,PGC0008979,-2,1,lenticular
229,PGC0009028,7,2,spiral
230,PGC0009256,5,2,spiral
231,PGC0009283,11,4,dwarf_elliptical
232,PGC0009352,-3,1,lenticular
233,PGC0009359,-1,1,lenticular
234,PGC0009376,5,2,spiral
235,PGC0009406,10,3,irregular
236,PGC0009414,9,2,spiral
237,PGC0009445,6,2,spiral
238,PGC0009514,-2,1,lenticular
239,PGC0009530,10,3,irregular
240,PGC0009549,2,2,spiral
241,PGC0009617,7,2,spiral
242,PGC0009621,1,2,spiral
243,PGC0009642,-3,1,lenticular
244,PGC0009643,4,2,spiral
245,PGC0009684,-2,1,lenticular
246,PGC0009711,1,2,spiral
247,PGC0009765,7,2,spiral
248,PGC0009817,4,2,spiral
249,PGC0009822,4,2,spiral
250,PGC0009843,6,2,spiral
251,PGC0009846,8,2,spiral
252,PGC0009869,7,2,spiral
253,PGC0009880,5,2,spiral
254,PGC0009894,4,2,spiral
255,PGC0010060,0,2,spiral
256,PGC0010065,3,2,spiral
257,PGC0010108,4,2,spiral
258,PGC0010117,10,3,irregular
259,PGC0010122,5,2,spiral
260,PGC0010132,11,4,dwarf_elliptical
261,PGC0010137,1,2,spiral
262,PGC0010140,2,2,spiral
263,PGC0010175,-5,0,elliptical
264,PGC0010208,3,2,spiral
265,PGC0010213,10,3,irregular
266,PGC0010249,3,2,spiral
267,PGC0010285,5,2,spiral
268,PGC0010290,2,2,spiral
269,PGC0010315,1,2,spiral
270,PGC0010381,9,2,spiral
271,PGC0010464,3,2,spiral
272,PGC0010496,6,2,spiral
273,PGC0010507,4,2,spiral
274,PGC0010559,2,2,spiral
275,PGC0010574,4,2,spiral
276,PGC0010634,2,2,spiral
277,PGC0010647,1,2,spiral
278,PGC0010649,-6,0,elliptical
279,PGC0010651,-1,1,lenticular
280,PGC0010673,8,2,spiral
281,PGC0010697,2,2,spiral
282,PGC0010726,3,2,spiral
283,PGC0010747,6,2,spiral
284,PGC0010766,4,2,spiral
285,PGC0010794,5,2,spiral
286,PGC0010843,-1,1,lenticular
287,PGC0010854,9,2,spiral
288,PGC0010857,5,2,spiral
289,PGC0010875,1,2,spiral
290,PGC0011000,6,2,spiral
291,PGC0011007,-5,0,elliptical
292,PGC0011067,6,2,spiral
293,PGC0011075,3,2,spiral
294,PGC0011112,5,2,spiral
295,PGC0011148,4,2,spiral
296,PGC0011154,8,2,spiral
297,PGC0011170,-5,0,elliptical
298,PGC0011397,8,2,spiral
299,PGC0011537,-1,1,lenticular
300,PGC0011573,9,2,spiral
301,PGC0011598,6,2,spiral
302,PGC0011670,0,2,spiral
303,PGC0011751,8,2,spiral
304,PGC0011767,4,2,spiral
305,PGC0011813,5,2,spiral
306,PGC0011912,2,2,spiral
307,PGC0011919,4,2,spiral
308,PGC0011966,-1,1,lenticular
309,PGC0012017,1,2,spiral
310,PGC0012090,6,2,spiral
311,PGC0012163,6,2,spiral
312,PGC0012220,4,2,spiral
313,PGC0012259,3,2,spiral
314,PGC0012262,3,2,spiral
315,PGC0012466,3,2,spiral
316,PGC0012531,5,2,spiral
317,PGC0012560,5,2,spiral
318,PGC0012620,5,2,spiral
319,PGC0012633,3,2,spiral
320,PGC0012655,4,2,spiral
321,PGC0012733,8,2,spiral
322,PGC0012772,2,2,spiral
323,PGC0012801,-6,0,elliptical
324,PGC0012803,3,2,spiral
325,PGC0013005,3,2,spiral
326,PGC0013009,3,2,spiral
327,PGC0013117,4,2,spiral
328,PGC0013204,5,2,spiral
329,PGC0013218,-3,1,lenticular
330,PGC0013308,8,2,spiral
331,PGC0013394,5,2,spiral
332,PGC0013406,6,2,spiral
333,PGC0013407,7,2,spiral
334,PGC0013421,6,2,spiral
335,PGC0013426,6,2,spiral
336,PGC0013535,6,2,spiral
337,PGC0013600,0,2,spiral
338,PGC0013702,4,2,spiral
339,PGC0013879,4,2,spiral
340,PGC0013903,8,2,spiral
341,PGC0014004,-3,1,lenticular
342,PGC0014100,6,2,spiral
343,PGC0020545,8,2,spiral
344,PGC0020799,2,2,spiral
345,PGC0020886,4,2,spiral
346,PGC0020900,4,2,spiral
347,PGC0021014,-5,0,elliptical
348,PGC0021073,10,3,irregular
349,PGC0021104,8,2,spiral
350,PGC0021119,5,2,spiral
351,PGC0021120,7,2,spiral
352,PGC0021144,3,2,spiral
353,PGC0021154,6,2,spiral
354,PGC0021168,7,2,spiral
355,PGC0021187,4,2,spiral
356,PGC0021220,-3,1,lenticular
357,PGC0021244,8,2,spiral
358,PGC0021280,0,2,spiral
359,PGC0021291,4,2,spiral
360,PGC0021321,8,2,spiral
361,PGC0021336,3,2,spiral
362,PGC0021341,2,2,spiral
363,PGC0021372,1,2,spiral
364,PGC0021382,-2,1,lenticular
365,PGC0021402,2,2,spiral
366,PGC0021414,0,2,spiral
367,PGC0021431,4,2,spiral
368,PGC0021437,1,2,spiral
369,PGC0021443,6,2,spiral
370,PGC0021475,4,2,spiral
371,PGC0021491,9,2,spiral
372,PGC0021495,6,2,spiral
373,PGC0021513,6,2,spiral
374,PGC0021515,8,2,spiral
375,PGC0021517,10,3,irregular
376,PGC0021542,-5,0,elliptical
377,PGC0021555,8,2,spiral
378,PGC0021558,3,2,spiral
379,PGC0021578,7,2,spiral
380,PGC0021580,5,2,spiral
381,PGC0021581,2,2,spiral
382,PGC0021585,10,3,irregular
383,PGC0021600,10,3,irregular
384,PGC0021618,2,2,spiral
385,PGC0021657,7,2,spiral
386,PGC0021659,-5,0,elliptical
387,PGC0021665,1,2,spiral
388,PGC0021676,1,2,spiral
389,PGC0021680,5,2,spiral
390,PGC0021688,8,2,spiral
391,PGC0021733,6,2,spiral
392,PGC0021755,3,2,spiral
393,PGC0021767,0,2,spiral
394,PGC0021774,-2,1,lenticular
395,PGC0021776,3,2,spiral
396,PGC0021782,6,2,spiral
397,PGC0021786,-3,1,lenticular
398,PGC0021789,4,2,spiral
399,PGC0021802,2,2,spiral
400,PGC0021819,6,2,spiral
401,PGC0021847,5,2,spiral
402,PGC0021849,6,2,spiral
403,PGC0021857,5,2,spiral
404,PGC0021891,8,2,spiral
405,PGC0021909,6,2,spiral
406,PGC0021918,4,2,spiral
407,PGC0021919,7,2,spiral
408,PGC0021927,2,2,spiral
409,PGC0021940,5,2,spiral
410,PGC0021976,6,2,spiral
411,PGC0021978,6,2,spiral
412,PGC0021983,7,2,spiral
413,PGC0022008,3,2,spiral
414,PGC0022032,4,2,spiral
415,PGC0022042,9,2,spiral
416,PGC0022052,4,2,spiral
417,PGC0022063,4,2,spiral
418,PGC0022093,2,2,spiral
419,PGC0022096,7,2,spiral
420,PGC0022110,4,2,spiral
421,PGC0022134,4,2,spiral
422,PGC0022143,8,2,spiral
423,PGC0022144,8,2,spiral
424,PGC0022151,7,2,spiral
425,PGC0022162,-1,1,lenticular
426,PGC0022176,6,2,spiral
427,PGC0022188,6,2,spiral
428,PGC0022205,4,2,spiral
429,PGC0022260,-5,0,elliptical
430,PGC0022266,1,2,spiral
431,PGC0022279,5,2,spiral
432,PGC0022297,7,2,spiral
433,PGC0022305,10,3,irregular
434,PGC0022314,1,2,spiral
435,PGC0022317,1,2,spiral
436,PGC0022321,-6,0,elliptical
437,PGC0022322,-5,0,elliptical
438,PGC0022340,8,2,spiral
439,PGC0022343,4,2,spiral
440,PGC0022350,-5,0,elliptical
441,PGC0022378,2,2,spiral
442,PGC0022381,3,2,spiral
443,PGC0022389,6,2,spiral
444,PGC0022391,6,2,spiral
445,PGC0022397,-5,0,elliptical
446,PGC0022403,3,2,spiral
447,PGC0022404,0,2,spiral
448,PGC0022408,1,2,spiral
449,PGC0022417,3,2,spiral
450,PGC0022418,1,2,spiral
451,PGC0022443,1,2,spiral
452,PGC0022445,3,2,spiral
453,PGC0022446,9,2,spiral
454,PGC0022453,5,2,spiral
455,PGC0022468,9,2,spiral
456,PGC0022495,9,2,spiral
457,PGC0022501,-5,0,elliptical
458,PGC0022510,0,2,spiral
459,PGC0022525,7,2,spiral
460,PGC0022542,3,2,spiral
461,PGC0022554,2,2,spiral
462,PGC0022565,4,2,spiral
463,PGC0022581,6,2,spiral
464,PGC0022585,-3,1,lenticular
465,PGC0022596,3,2,spiral
466,PGC0022609,-3,1,lenticular
467,PGC0022618,7,2,spiral
468,PGC0022644,1,2,spiral
469,PGC0022677,8,2,spiral
470,PGC0022678,6,2,spiral
471,PGC0022681,4,2,spiral
472,PGC0022693,6,2,spiral
473,PGC0022698,5,2,spiral
474,PGC0022707,-3,1,lenticular
475,PGC0022710,8,2,spiral
476,PGC0022724,3,2,spiral
477,PGC0022749,1,2,spiral
478,PGC0022752,6,2,spiral
479,PGC0022755,-1,1,lenticular
480,PGC0022762,1,2,spiral
481,PGC0022766,4,2,spiral
482,PGC0022767,-2,1,lenticular
483,PGC0022772,6,2,spiral
484,PGC0022800,-5,0,elliptical
485,PGC0022802,6,2,spiral
486,PGC0022803,8,2,spiral
487,PGC0022805,4,2,spiral
488,PGC0022827,6,2,spiral
489,PGC0022830,8,2,spiral
490,PGC0022838,-5,0,elliptical
491,PGC0022860,4,2,spiral
492,PGC0022866,-3,1,lenticular
493,PGC0022867,1,2,spiral
494,PGC0022873,7,2,spiral
495,PGC0022881,-1,1,lenticular
496,PGC0022883,4,2,spiral
497,PGC0022890,1,2,spiral
498,PGC0022896,4,2,spiral
499,PGC0022915,4,2,spiral
500,PGC0022921,6,2,spiral
501,PGC0022922,4,2,spiral
502,PGC0022941,8,2,spiral
503,PGC0022950,-5,0,elliptical
504,PGC0022955,9,2,spiral
505,PGC0022957,5,2,spiral
506,PGC0022958,6,2,spiral
507,PGC0022962,3,2,spiral
508,PGC0023017,4,2,spiral
509,PGC0023024,-1,1,lenticular
510,PGC0023028,3,2,spiral
511,PGC0023040,9,2,spiral
512,PGC0023047,4,2,spiral
513,PGC0023057,6,2,spiral
514,PGC0023064,6,2,spiral
515,PGC0023069,4,2,spiral
516,PGC0023071,7,2,spiral
517,PGC0023086,1,2,spiral
518,PGC0023093,3,2,spiral
519,PGC0023103,2,2,spiral
520,PGC0023110,7,2,spiral
521,PGC0023111,0,2,spiral
522,PGC0023117,4,2,spiral
523,PGC0023147,6,2,spiral
524,PGC0023152,8,2,spiral
525,PGC0023160,-3,1,lenticular
526,PGC0023169,4,2,spiral
527,PGC0023170,4,2,spiral
528,PGC0023173,4,2,spiral
529,PGC0023193,-3,1,lenticular
530,PGC0023225,8,2,spiral
531,PGC0023232,4,2,spiral
532,PGC0023245,8,2,spiral
533,PGC0023256,0,2,spiral
534,PGC0023259,1,2,spiral
535,PGC0023266,8,2,spiral
536,PGC0023271,5,2,spiral
537,PGC0023279,8,2,spiral
538,PGC0023289,3,2,spiral
539,PGC0023313,-2,1,lenticular
540,PGC0023319,6,2,spiral
541,PGC0023329,-1,1,lenticular
542,PGC0023337,1,2,spiral
543,PGC0023340,9,2,spiral
544,PGC0023362,1,2,spiral
545,PGC0023367,-2,1,lenticular
546,PGC0023383,-1,1,lenticular
547,PGC0023385,7,2,spiral
548,PGC0023391,8,2,spiral
549,PGC0023395,1,2,spiral
550,PGC0023404,-3,1,lenticular
551,PGC0023407,-1,1,lenticular
552,PGC0023409,1,2,spiral
553,PGC0023412,1,2,spiral
554,PGC0023422,-1,1,lenticular
555,PGC0023441,1,2,spiral
556,PGC0023443,4,2,spiral
557,PGC0023447,4,2,spiral
558,PGC0023465,7,2,spiral
559,PGC0023474,3,2,spiral
560,PGC0023480,1,2,spiral
561,PGC0023483,7,2,spiral
562,PGC0023485,6,2,spiral
563,PGC0023495,1,2,spiral
564,PGC0023498,-3,1,lenticular
565,PGC0023499,0,2,spiral
566,PGC0023501,6,2,spiral
567,PGC0023504,4,2,spiral
568,PGC0023512,2,2,spiral
569,PGC0023513,6,2,spiral
570,PGC0023519,6,2,spiral
571,PGC0023522,6,2,spiral
572,PGC0023542,3,2,spiral
573,PGC0023546,8,2,spiral
574,PGC0023552,-3,1,lenticular
575,PGC0023567,3,2,spiral
576,PGC0023598,6,2,spiral
577,PGC0023609,4,2,spiral
578,PGC0023616,3,2,spiral
579,PGC0023630,3,2,spiral
580,PGC0023643,6,2,spiral
581,PGC0023650,3,2,spiral
582,PGC0023661,7,2,spiral
583,PGC0023662,5,2,spiral
584,PGC0023673,-3,1,lenticular
585,PGC0023684,5,2,spiral
586,PGC0023685,1,2,spiral
587,PGC0023688,0,2,spiral
588,PGC0023691,8,2,spiral
589,PGC0023695,8,2,spiral
590,PGC0023700,0,2,spiral
591,PGC0023701,-5,0,elliptical
592,PGC0023705,4,2,spiral
593,PGC0023711,6,2,spiral
594,PGC0023717,8,2,spiral
595,PGC0023725,6,2,spiral
596,PGC0023741,7,2,spiral
597,PGC0023769,10,3,irregular
598,PGC0023788,6,2,spiral
599,PGC0023812,4,2,spiral
600,PGC0023816,8,2,spiral
601,PGC0023834,-6,0,elliptical
602,PGC0023843,5,2,spiral
603,PGC0023845,8,2,spiral
604,PGC0023855,1,2,spiral
605,PGC0023860,3,2,spiral
606,PGC0023878,6,2,spiral
607,PGC0023880,6,2,spiral
608,PGC0023885,8,2,spiral
609,PGC0023910,7,2,spiral
610,PGC0023913,5,2,spiral
611,PGC0023917,-1,1,lenticular
612,PGC0023918,2,2,spiral
613,PGC0023936,5,2,spiral
614,PGC0023941,1,2,spiral
615,PGC0023973,1,2,spiral
616,PGC0023978,5,2,spiral
617,PGC0023993,1,2,spiral
618,PGC0023996,4,2,spiral
619,PGC0023998,6,2,spiral
620,PGC0024002,-2,1,lenticular
621,PGC0024082,4,2,spiral
622,PGC0024104,8,2,spiral
623,PGC0024108,1,2,spiral
624,PGC0024111,3,2,spiral
625,PGC0024152,1,2,spiral
626,PGC0024156,1,2,spiral
627,PGC0024166,0,2,spiral
628,PGC0024230,0,2,spiral
629,PGC0024235,5,2,spiral
630,PGC0024242,8,2,spiral
631,PGC0024244,7,2,spiral
632,PGC0024299,4,2,spiral
633,PGC0024309,1,2,spiral
634,PGC0024348,5,2,spiral
635,PGC0024351,9,2,spiral
636,PGC0024372,3,2,spiral
637,PGC0024374,10,3,irregular
638,PGC0024399,4,2,spiral
639,PGC0024423,5,2,spiral
640,PGC0024428,5,2,spiral
641,PGC0024438,2,2,spiral
642,PGC0024442,3,2,spiral
643,PGC0024453,1,2,spiral
644,PGC0024470,7,2,spiral
645,PGC0024475,7,2,spiral
646,PGC0024493,8,2,spiral
647,PGC0024506,1,2,spiral
648,PGC0024509,6,2,spiral
649,PGC0024517,1,2,spiral
650,PGC0024528,-1,1,lenticular
651,PGC0024530,3,2,spiral
652,PGC0024531,4,2,spiral
653,PGC0024532,5,2,spiral
654,PGC0024545,6,2,spiral
655,PGC0024548,7,2,spiral
656,PGC0024572,1,2,spiral
657,PGC0024573,8,2,spiral
658,PGC0024575,4,2,spiral
659,PGC0024594,8,2,spiral
660,PGC0024595,6,2,spiral
661,PGC0024621,4,2,spiral
662,PGC0024640,8,2,spiral
663,PGC0024641,4,2,spiral
664,PGC0024654,3,2,spiral
665,PGC0024665,1,2,spiral
666,PGC0024669,-5,0,elliptical
667,PGC0024674,6,2,spiral
668,PGC0024678,3,2,spiral
669,PGC0024688,-2,1,lenticular
670,PGC0024707,-3,1,lenticular
671,PGC0024710,0,2,spiral
672,PGC0024728,-5,0,elliptical
673,PGC0024743,7,2,spiral
674,PGC0024762,2,2,spiral
675,PGC0024771,5,2,spiral
676,PGC0024784,1,2,spiral
677,PGC0024791,3,2,spiral
678,PGC0024796,6,2,spiral
679,PGC0024830,6,2,spiral
680,PGC0024833,6,2,spiral
681,PGC0024839,4,2,spiral
682,PGC0024865,10,3,irregular
683,PGC0024881,-1,1,lenticular
684,PGC0024884,-1,1,lenticular
685,PGC0024887,7,2,spiral
686,PGC0024908,4,2,spiral
687,PGC0024909,-2,1,lenticular
688,PGC0024930,2,2,spiral
689,PGC0024944,8,2,spiral
690,PGC0024948,5,2,spiral
691,PGC0024960,6,2,spiral
692,PGC0024961,0,2,spiral
693,PGC0024963,7,2,spiral
694,PGC0024964,2,2,spiral
695,PGC0024981,3,2,spiral
696,PGC0024996,5,2,spiral
697,PGC0025001,8,2,spiral
698,PGC0025009,-2,1,lenticular
699,PGC0025012,7,2,spiral
700,PGC0025020,2,2,spiral
701,PGC0025065,0,2,spiral
702,PGC0025081,7,2,spiral
703,PGC0025086,5,2,spiral
704,PGC0025128,7,2,spiral
705,PGC0025134,2,2,spiral
706,PGC0025142,-1,1,lenticular
707,PGC0025143,-2,1,lenticular
708,PGC0025144,-5,0,elliptical
709,PGC0025147,7,2,spiral
710,PGC0025154,6,2,spiral
711,PGC0025161,3,2,spiral
712,PGC0025172,0,2,spiral
713,PGC0025185,10,3,irregular
714,PGC0025194,0,2,spiral
715,PGC0025210,4,2,spiral
716,PGC0025224,1,2,spiral
717,PGC0025225,3,2,spiral
718,PGC0025226,-3,1,lenticular
719,PGC0025232,10,3,irregular
720,PGC0025235,8,2,spiral
721,PGC0025237,6,2,spiral
722,PGC0025248,3,2,spiral
723,PGC0025258,5,2,spiral
724,PGC0025280,-5,0,elliptical
725,PGC0025281,9,2,spiral
726,PGC0025282,4,2,spiral
727,PGC0025283,2,2,spiral
728,PGC0025284,10,3,irregular
729,PGC0025290,2,2,spiral
730,PGC0025292,9,2,spiral
731,PGC0025305,4,2,spiral
732,PGC0025308,3,2,spiral
733,PGC0025318,7,2,spiral
734,PGC0025328,-2,1,lenticular
735,PGC0025331,5,2,spiral
736,PGC0025341,6,2,spiral
737,PGC0025352,-2,1,lenticular
738,PGC0025360,4,2,spiral
739,PGC0025369,7,2,spiral
740,PGC0025399,2,2,spiral
741,PGC0025402,-6,0,elliptical
742,PGC0025405,5,2,spiral
743,PGC0025406,6,2,spiral
744,PGC0025423,4,2,spiral
745,PGC0025426,3,2,spiral
746,PGC0025467,5,2,spiral
747,PGC0025472,7,2,spiral
748,PGC0025496,7,2,spiral
749,PGC0025498,5,2,spiral
750,PGC0025521,10,3,irregular
751,PGC0025524,-5,0,elliptical
752,PGC0025525,3,2,spiral
753,PGC0025533,1,2,spiral
754,PGC0025545,8,2,spiral
755,PGC0025547,1,2,spiral
756,PGC0025556,9,2,spiral
757,PGC0025562,8,2,spiral
758,PGC0025571,-2,1,lenticular
759,PGC0025596,7,2,spiral
760,PGC0025600,1,2,spiral
761,PGC0025640,4,2,spiral
762,PGC0025644,8,2,spiral
763,PGC0025646,-2,1,lenticular
764,PGC0025679,9,2,spiral
765,PGC0025683,1,2,spiral
766,PGC0025718,-3,1,lenticular
767,PGC0025726,6,2,spiral
768,PGC0025735,2,2,spiral
769,PGC0025757,3,2,spiral
770,PGC0025781,7,2,spiral
771,PGC0025806,4,2,spiral
772,PGC0025836,3,2,spiral
773,PGC0025845,6,2,spiral
774,PGC0025847,4,2,spiral
775,PGC0025858,11,4,dwarf_elliptical
776,PGC0025861,1,2,spiral
777,PGC0025870,1,2,spiral
778,PGC0025875,2,2,spiral
779,PGC0025876,9,2,spiral
780,PGC0025910,7,2,spiral
781,PGC0025911,8,2,spiral
782,PGC0025915,-2,1,lenticular
783,PGC0025919,9,2,spiral
784,PGC0025940,9,2,spiral
785,PGC0025946,4,2,spiral
786,PGC0025955,-3,1,lenticular
787,PGC0025956,5,2,spiral
788,PGC0025972,9,2,spiral
789,PGC0025976,6,2,spiral
790,PGC0025977,8,2,spiral
791,PGC0025986,6,2,spiral
792,PGC0026000,-5,0,elliptical
793,PGC0026002,2,2,spiral
794,PGC0026012,4,2,spiral
795,PGC0026013,-3,1,lenticular
796,PGC0026015,4,2,spiral
797,PGC0026034,1,2,spiral
798,PGC0026048,5,2,spiral
799,PGC0026055,2,2,spiral
800,PGC0026058,5,2,spiral
801,PGC0026068,6,2,spiral
802,PGC0026083,9,2,spiral
803,PGC0026086,6,2,spiral
